epoch,train_loss,val_loss,lr,elapsed_s
1,0.080376,0.063439,2.00e-04,143.2
2,0.056378,0.052951,2.00e-04,131.0
3,0.047994,0.052722,2.00e-04,302.8
4,0.044146,0.041967,2.00e-04,131.3
5,0.039522,0.043828,2.00e-04,131.3
6,0.039560,0.042205,2.00e-04,131.2
7,0.036887,0.031971,2.00e-04,131.3
8,0.035941,0.034857,2.00e-04,131.3
9,0.032858,0.031044,2.00e-04,218.4
10,0.032055,0.034854,2.00e-04,131.2
11,0.029860,0.027236,2.00e-04,131.2
12,0.028856,0.026621,2.00e-04,131.2
13,0.027567,0.025707,2.00e-04,131.3
14,0.027753,0.025538,2.00e-04,131.2
15,0.025315,0.023612,2.00e-04,131.3
16,0.024043,0.025360,2.00e-04,131.2
17,0.022987,0.022804,2.00e-04,131.2
18,0.023565,0.024011,2.00e-04,131.4
19,0.022503,0.022383,2.00e-04,131.3
20,0.023830,0.020795,2.00e-04,131.3
21,0.020947,0.023461,2.00e-04,131.3
22,0.022689,0.021538,2.00e-04,131.3
23,0.021641,0.021642,2.00e-04,131.3
24,0.020868,0.021633,2.00e-04,131.3
25,0.019774,0.020385,2.00e-04,131.2
26,0.019367,0.019736,2.00e-04,131.3
27,0.020124,0.018620,2.00e-04,131.4
28,0.019210,0.017623,2.00e-04,131.3
29,0.020004,0.021183,2.00e-04,131.2
30,0.020050,0.017503,2.00e-04,131.3
31,0.020442,0.020060,2.00e-04,131.3
32,0.018448,0.015293,2.00e-04,131.3
33,0.018981,0.018726,2.00e-04,131.2
34,0.017976,0.019502,2.00e-04,131.3
35,0.017952,0.016900,2.00e-04,131.3
36,0.017745,0.015204,2.00e-04,131.2
37,0.017029,0.016870,2.00e-04,131.3
38,0.018425,0.017893,2.00e-04,131.3
39,0.016412,0.014102,2.00e-04,131.3
40,0.017900,0.017477,2.00e-04,131.3
41,0.016775,0.015591,2.00e-04,131.2
42,0.016518,0.016132,2.00e-04,131.3
43,0.016794,0.017527,2.00e-04,131.3
44,0.017440,0.014934,2.00e-04,131.3
45,0.016152,0.019007,2.00e-04,131.2
46,0.016706,0.016190,2.00e-04,131.3
47,0.015755,0.016935,2.00e-04,131.2
48,0.016435,0.016375,2.00e-04,131.2
49,0.015267,0.016362,1.99e-04,131.3
50,0.015819,0.018504,1.99e-04,131.2
51,0.015392,0.015281,1.99e-04,131.3
52,0.015903,0.016828,1.99e-04,131.3
53,0.016272,0.014286,1.99e-04,131.3
54,0.016110,0.016887,1.99e-04,131.3
55,0.015114,0.015369,1.99e-04,131.4
56,0.014851,0.016004,1.99e-04,131.4
57,0.016564,0.012976,1.99e-04,131.3
58,0.014383,0.014641,1.99e-04,131.3
59,0.015747,0.013958,1.99e-04,131.3
60,0.014750,0.015570,1.99e-04,131.3
61,0.015245,0.015144,1.99e-04,131.4
62,0.013609,0.014262,1.99e-04,131.4
63,0.015028,0.011966,1.99e-04,131.5
64,0.014511,0.014079,1.99e-04,131.4
65,0.014088,0.013652,1.99e-04,131.3
66,0.014456,0.016957,1.99e-04,131.3
67,0.014359,0.013008,1.99e-04,131.3
68,0.014431,0.015933,1.99e-04,131.3
69,0.014336,0.014903,1.99e-04,131.3
70,0.013833,0.016363,1.99e-04,131.3
71,0.014844,0.015707,1.99e-04,131.4
72,0.014215,0.012466,1.99e-04,131.5
73,0.013445,0.013014,1.99e-04,131.3
74,0.013395,0.013450,1.99e-04,131.4
75,0.013599,0.013621,1.99e-04,222.9
76,0.013927,0.013840,1.99e-04,131.2
77,0.012553,0.014983,1.99e-04,131.2
78,0.014754,0.014862,1.99e-04,131.2
79,0.012518,0.012163,1.99e-04,131.2
80,0.013511,0.012366,1.99e-04,131.2
81,0.012939,0.012968,1.99e-04,131.2
82,0.013610,0.016770,1.99e-04,131.2
83,0.013899,0.013447,1.99e-04,131.3
84,0.013115,0.013069,1.98e-04,131.3
85,0.014579,0.013086,1.98e-04,131.2
86,0.012933,0.012842,1.98e-04,131.3
87,0.012377,0.012342,1.98e-04,131.1
88,0.012139,0.012163,1.98e-04,131.2
89,0.013308,0.013229,1.98e-04,131.3
90,0.013088,0.012682,1.98e-04,131.3
91,0.012836,0.011793,1.98e-04,131.4
92,0.013443,0.011916,1.98e-04,131.3
93,0.013181,0.012834,1.98e-04,131.3
94,0.013384,0.013491,1.98e-04,131.3
95,0.012011,0.012028,1.98e-04,131.3
96,0.013201,0.012917,1.98e-04,131.4
97,0.013296,0.013154,1.98e-04,131.4
98,0.011714,0.010159,1.98e-04,131.3
99,0.012611,0.012156,1.98e-04,131.4
100,0.012321,0.013190,1.98e-04,131.3
101,0.012320,0.011433,1.98e-04,131.4
102,0.012836,0.013597,1.98e-04,131.4
103,0.013312,0.015046,1.98e-04,131.3
104,0.011570,0.012957,1.98e-04,131.3
105,0.012065,0.012364,1.98e-04,131.3
106,0.011367,0.011810,1.98e-04,131.3
107,0.012196,0.011912,1.98e-04,131.3
108,0.012474,0.011356,1.97e-04,131.3
109,0.011700,0.011029,1.97e-04,131.3
110,0.011903,0.009826,1.97e-04,131.3
111,0.012462,0.010939,1.97e-04,131.5
112,0.012216,0.013183,1.97e-04,131.3
113,0.012764,0.012140,1.97e-04,131.3
114,0.012310,0.012466,1.97e-04,131.3
115,0.013557,0.013139,1.97e-04,131.3
116,0.012045,0.014222,1.97e-04,131.3
117,0.012194,0.011313,1.97e-04,131.3
118,0.011739,0.010539,1.97e-04,131.3
119,0.012674,0.013051,1.97e-04,131.3
120,0.012740,0.011958,1.97e-04,131.3
121,0.012516,0.012768,1.97e-04,131.3
122,0.011885,0.012558,1.97e-04,131.3
123,0.012605,0.012920,1.97e-04,131.3
124,0.012683,0.012555,1.97e-04,131.3
125,0.011960,0.010051,1.97e-04,131.3
126,0.010887,0.010698,1.97e-04,169.3
127,0.011092,0.010601,1.97e-04,184.6
128,0.011776,0.012349,1.96e-04,131.2
129,0.011238,0.011473,1.96e-04,131.2
130,0.010513,0.012009,1.96e-04,131.2
131,0.011996,0.010483,1.96e-04,131.3
132,0.012091,0.011704,1.96e-04,131.3
133,0.011614,0.013416,1.96e-04,131.2
134,0.010994,0.010182,1.96e-04,131.2
135,0.011520,0.009095,1.96e-04,131.2
136,0.011147,0.012556,1.96e-04,131.1
137,0.011356,0.010500,1.96e-04,131.1
138,0.011048,0.011921,1.96e-04,131.2
139,0.012270,0.010803,1.96e-04,131.3
140,0.011755,0.012007,1.96e-04,131.3
141,0.011108,0.011775,1.96e-04,131.3
142,0.010058,0.011441,1.96e-04,131.3
143,0.011280,0.010338,1.96e-04,131.3
144,0.011643,0.010121,1.96e-04,131.3
145,0.011773,0.010723,1.95e-04,131.3
146,0.011190,0.010905,1.95e-04,131.3
147,0.011477,0.009811,1.95e-04,131.4
148,0.010977,0.009376,1.95e-04,131.3
149,0.010706,0.011216,1.95e-04,131.3
150,0.010098,0.011855,1.95e-04,131.2
151,0.011880,0.010305,1.95e-04,131.3
152,0.010920,0.011525,1.95e-04,131.3
153,0.010496,0.011384,1.95e-04,131.3
154,0.011379,0.010457,1.95e-04,131.2
155,0.010546,0.011689,1.95e-04,131.3
156,0.011416,0.009751,1.95e-04,131.3
157,0.011570,0.011224,1.95e-04,131.3
158,0.010670,0.012441,1.95e-04,131.3
159,0.011125,0.010408,1.95e-04,131.3
160,0.010840,0.010587,1.94e-04,131.3
161,0.011380,0.010292,1.94e-04,131.2
162,0.010635,0.010072,1.94e-04,131.3
163,0.010488,0.010982,1.94e-04,131.4
164,0.010979,0.010161,1.94e-04,131.3
165,0.010306,0.011493,1.94e-04,131.3
166,0.011747,0.011117,1.94e-04,131.3
167,0.010905,0.010274,1.94e-04,131.3
168,0.009998,0.010974,1.94e-04,131.3
169,0.010570,0.009705,1.94e-04,131.3
170,0.011024,0.011665,1.94e-04,131.3
171,0.011238,0.009984,1.94e-04,131.3
172,0.010765,0.010942,1.94e-04,131.3
173,0.010209,0.010751,1.94e-04,131.3
174,0.010485,0.011361,1.93e-04,131.3
175,0.009461,0.010449,1.93e-04,131.3
176,0.011191,0.013322,1.93e-04,131.3
177,0.011305,0.010745,1.93e-04,131.3
178,0.010602,0.010639,1.93e-04,131.3
179,0.010397,0.011334,1.93e-04,131.3
180,0.009971,0.011313,1.93e-04,131.3
181,0.010244,0.010059,1.93e-04,131.4
182,0.010734,0.010397,1.93e-04,131.4
183,0.010820,0.009065,1.93e-04,131.3
184,0.010848,0.010718,1.93e-04,131.4
185,0.010591,0.009002,1.93e-04,131.3
186,0.010904,0.009885,1.93e-04,131.4
187,0.010726,0.010583,1.93e-04,131.4
188,0.010088,0.011370,1.92e-04,131.4
189,0.009607,0.010994,1.92e-04,131.3
190,0.009934,0.010461,1.92e-04,131.3
191,0.010200,0.011441,1.92e-04,131.3
192,0.010758,0.009235,1.92e-04,131.4
193,0.010017,0.009325,1.92e-04,131.3
194,0.009861,0.011112,1.92e-04,131.3
195,0.009901,0.010972,1.92e-04,131.3
196,0.010588,0.010915,1.92e-04,131.3
197,0.009906,0.009895,1.92e-04,131.3
198,0.009586,0.009930,1.92e-04,131.3
199,0.009770,0.010025,1.92e-04,131.3
200,0.009848,0.013016,1.91e-04,131.3
201,0.009099,0.010162,1.91e-04,131.3
202,0.009720,0.009714,1.91e-04,131.3
203,0.009962,0.009863,1.91e-04,131.3
204,0.010790,0.010381,1.91e-04,131.3
205,0.009494,0.010108,1.91e-04,131.3
206,0.009800,0.011248,1.91e-04,131.3
