epoch,timestamp_utc,train_loss,val_loss
1,2026-06-11T16:38:24.839321+00:00,0.0395088193,0.0123090795
2,2026-06-11T16:39:34.248256+00:00,0.0140514460,0.0105184187
3,2026-06-11T16:40:44.842060+00:00,0.0119314002,0.0093110332
4,2026-06-11T16:41:55.632730+00:00,0.0106678918,0.0082770405
5,2026-06-11T16:43:06.283518+00:00,0.0093254838,0.0095079637
6,2026-06-11T16:44:15.645716+00:00,0.0088682378,0.0074782602
7,2026-06-11T16:45:26.248254+00:00,0.0084620347,0.0091511838
8,2026-06-11T16:46:35.343589+00:00,0.0081611459,0.0063810070
9,2026-06-11T16:47:46.041720+00:00,0.0080425864,0.0068900291
10,2026-06-11T16:48:55.100669+00:00,0.0074563598,0.0078192310
11,2026-06-11T16:50:04.255443+00:00,0.0071520584,0.0058978341
12,2026-06-11T16:51:14.871945+00:00,0.0071950699,0.0063836449
13,2026-06-11T16:52:23.933615+00:00,0.0066230359,0.0068081998
14,2026-06-11T16:53:33.106832+00:00,0.0069519297,0.0072079167
15,2026-06-11T16:54:42.236515+00:00,0.0066024937,0.0060857520
16,2026-06-11T16:55:51.547350+00:00,0.0060773548,0.0067256354
17,2026-06-11T16:57:00.739089+00:00,0.0066744458,0.0059161641
18,2026-06-11T16:58:10.119653+00:00,0.0062687071,0.0063391511
19,2026-06-11T16:59:19.469335+00:00,0.0061452302,0.0062936701
20,2026-06-11T17:00:28.670921+00:00,0.0060191725,0.0062517388
21,2026-06-11T17:01:37.899092+00:00,0.0060907235,0.0061620446
22,2026-06-11T17:02:47.022499+00:00,0.0058170494,0.0054646609
23,2026-06-11T17:03:57.667012+00:00,0.0059883616,0.0057619577
24,2026-06-11T17:05:06.871454+00:00,0.0058840883,0.0056828720
25,2026-06-11T17:06:16.073231+00:00,0.0058171434,0.0052537458
26,2026-06-11T17:07:26.804126+00:00,0.0055612548,0.0052844360
27,2026-06-11T17:08:36.000028+00:00,0.0056293542,0.0049301614
28,2026-06-11T17:09:46.917557+00:00,0.0057280826,0.0052647447
29,2026-06-11T17:10:56.213109+00:00,0.0056401611,0.0060012010
30,2026-06-11T17:12:05.397022+00:00,0.0055116771,0.0056743190
31,2026-06-11T17:13:14.598944+00:00,0.0049302667,0.0051592071
32,2026-06-11T17:14:23.804504+00:00,0.0050740599,0.0053998605
33,2026-06-11T17:15:32.980431+00:00,0.0053900634,0.0044878378
34,2026-06-11T17:16:43.699120+00:00,0.0055489418,0.0047136485
35,2026-06-11T17:17:52.914721+00:00,0.0049997166,0.0048035931
36,2026-06-11T17:19:02.172101+00:00,0.0053883934,0.0047680496
37,2026-06-11T17:20:11.338788+00:00,0.0051226412,0.0049849393
38,2026-06-11T17:21:20.549420+00:00,0.0053368297,0.0051660975
39,2026-06-11T17:22:29.817626+00:00,0.0054206271,0.0052659466
40,2026-06-11T17:23:39.009446+00:00,0.0049444564,0.0048847334
41,2026-06-11T17:24:48.242430+00:00,0.0048519025,0.0051854795
