sample_idx,rmse,mag_rmse,angle_err_deg,time_s
0,0.03554559,0.03237525,17.6296,2.586
1,0.02775310,0.02261859,21.0018,2.561
2,0.04788226,0.05367513,30.5195,2.420
3,0.07420977,0.05659773,50.8181,2.309
4,0.03080141,0.03778326,15.3626,2.378
5,0.05377506,0.06670529,13.5441,2.439
6,0.04829115,0.06059885,9.2675,2.404
7,0.04779590,0.05744072,8.2943,2.301
8,0.07739243,0.07304448,29.2790,2.695
9,0.05539715,0.06190277,12.4850,2.526
10,0.07224334,0.08601447,22.1448,2.402
11,0.09864468,0.07189466,36.1383,2.353
12,0.06296220,0.07067972,27.9674,2.341
13,0.07911999,0.06333757,38.7727,2.482
14,0.02980362,0.03415208,18.9721,2.486
15,0.03505505,0.03592270,23.4513,2.407
16,0.07732316,0.08470309,32.2529,2.552
17,0.07517979,0.08185487,38.2896,2.245
18,0.05274786,0.06361613,20.3141,2.222
19,0.04257639,0.03941424,19.8949,2.392
20,0.04230015,0.03866979,28.3118,2.409
21,0.04721956,0.04654431,40.2872,2.415
22,0.04660152,0.04647995,29.0769,2.415
23,0.04935495,0.05058008,37.5530,2.463
24,0.03892116,0.03789492,46.4579,2.440
25,0.03509285,0.02711206,41.4649,2.417
26,0.03288203,0.02967421,21.4371,2.569
27,0.01907492,0.01906579,14.5286,2.441
28,0.08006015,0.07265473,35.3494,2.315
29,0.07870775,0.08891562,36.4485,2.393
30,0.03797803,0.04028536,23.6207,2.461
31,0.04501197,0.03181354,37.0681,2.405
32,0.05944513,0.04390249,63.2230,2.460
33,0.02122087,0.01456088,33.7324,2.424
34,0.07817978,0.06200092,86.6662,2.420
35,0.02430598,0.02736116,31.4343,2.423
36,0.06276616,0.04533820,35.7095,2.457
37,0.05451139,0.06288260,35.2987,2.407
38,0.03824084,0.04448505,12.7809,2.207
39,0.07055244,0.09487700,9.9423,2.395
40,0.06390187,0.04187803,37.2447,2.623
41,0.07489414,0.05982799,38.3227,2.375
42,0.07826563,0.04820058,45.8038,2.497
43,0.06186810,0.04121332,45.8488,2.504
44,0.04061899,0.05139086,13.2266,2.389
45,0.03592470,0.03690565,22.5775,2.453
46,0.04205567,0.03705382,71.8934,2.451
47,0.04327610,0.04112730,59.1143,2.434
48,0.03394625,0.03202569,40.5866,2.539
49,0.04041202,0.04251258,27.2694,2.406
