sample_idx,rmse,mag_rmse,angle_err_deg,time_s
0,0.07417901,0.08214335,47.5908,2.239
1,0.06070205,0.04958453,38.5594,2.231
2,0.03639604,0.04078045,27.8255,2.140
3,0.04748728,0.03121504,49.1582,2.170
4,0.06050890,0.06837469,38.3726,2.153
5,0.07422640,0.07838563,42.0714,2.292
6,0.12812896,0.10306673,77.5547,2.275
7,0.04610542,0.05587013,10.8644,2.154
8,0.11106797,0.11673639,37.0443,2.245
9,0.21684261,0.25659290,120.1833,2.315
10,0.07782660,0.09633981,37.6836,2.221
11,0.11093625,0.12739320,54.3806,2.214
12,0.08185356,0.09213295,34.7845,2.145
13,0.07324237,0.07227597,49.8562,2.166
14,0.06262895,0.04908264,47.0429,2.257
15,0.04604597,0.05606075,39.2519,2.174
16,0.09600278,0.12049246,37.6927,2.333
17,0.05726324,0.05002017,36.8410,1.976
18,0.04988609,0.05539498,34.9158,2.197
19,0.07525623,0.08752798,48.4889,2.158
20,0.03698909,0.03477121,21.7528,2.126
21,0.03762380,0.03652488,29.1443,2.137
22,0.07371247,0.06954217,88.4689,2.241
23,0.12269958,0.15948021,49.6022,2.271
24,0.05046828,0.04876035,52.1741,2.281
25,0.05207884,0.05322416,64.3119,2.197
26,0.03790204,0.03620490,28.0554,2.209
27,0.05607339,0.06707096,34.7160,2.255
28,0.03602806,0.03879076,22.6465,2.184
29,0.07558589,0.10267165,19.8470,2.165
30,0.05709945,0.03498655,75.6006,2.177
31,0.02873319,0.02933466,26.9774,2.154
32,0.14557336,0.15853561,77.7476,2.090
33,0.02850277,0.02064158,50.2229,2.179
34,0.07039136,0.04187137,125.1734,2.239
35,0.08142032,0.10847884,35.9460,2.279
36,0.05719498,0.02792736,64.3949,2.213
37,0.06576072,0.08405782,28.3992,2.162
38,0.09290653,0.06256803,64.4070,2.046
39,0.06152572,0.06813577,21.6880,2.284
40,0.03395960,0.03165007,14.4341,2.235
41,0.06695379,0.06217112,34.5206,2.201
42,0.04312706,0.03944208,29.7982,2.339
43,0.08710288,0.06722762,95.7148,2.352
44,0.05200431,0.05152932,37.4444,2.206
45,0.04971876,0.04605675,40.8119,2.221
46,0.06736150,0.04156045,112.1026,2.244
47,0.04797131,0.03938266,74.7027,2.178
48,0.06785534,0.05336051,92.1057,2.348
49,0.06039907,0.05142367,67.6996,2.234
