sample_idx,rmse,mag_rmse,angle_err_deg,time_s
0,0.11814424,0.10368656,66.6959,1.057
1,0.07959075,0.06423378,46.6934,0.687
2,0.07736258,0.06451066,58.7628,0.705
3,0.05821300,0.06690664,43.4953,0.768
4,0.08661984,0.10051048,30.7367,0.668
5,0.07456080,0.09551558,19.1753,0.786
6,0.14330107,0.13327803,89.8351,0.748
7,0.20613107,0.16648962,104.2681,0.768
8,0.08090940,0.08357750,31.0106,0.646
9,0.22613817,0.21920061,101.4715,0.741
10,0.06026433,0.07417218,23.3299,0.793
11,0.04330975,0.05461545,21.9239,0.782
12,0.08743656,0.11053269,34.6782,0.803
13,0.05252585,0.04761521,34.0671,0.754
14,0.07847232,0.06604426,70.7707,0.769
15,0.09024354,0.11133895,43.3071,0.768
16,0.12024225,0.05142482,93.0922,0.689
17,0.09399854,0.12682781,16.3578,0.770
18,0.06507217,0.07996759,26.9837,0.783
19,0.08407569,0.09118757,27.3955,0.765
20,0.04424857,0.04744647,26.2309,0.791
21,0.06088643,0.05854515,49.3343,0.771
22,0.14434534,0.08044373,109.6109,0.769
23,0.14382698,0.12221621,98.3802,0.672
24,0.09557084,0.04135530,123.7188,0.775
25,0.04494675,0.03582826,45.4028,0.773
26,0.07444903,0.06060942,99.7772,0.766
27,0.07355476,0.08519397,53.6370,0.766
28,0.13771239,0.15263352,40.5888,0.764
29,0.19267979,0.12740034,106.8641,0.774
30,0.06188288,0.07021864,36.8262,0.774
31,0.06752110,0.02757534,90.4105,0.646
32,0.13612533,0.15211019,74.8384,0.720
33,0.07770345,0.09693874,37.4862,0.775
34,0.02362537,0.01861774,41.0097,0.757
35,0.06890981,0.03833636,123.3960,0.760
36,0.08531862,0.11728413,20.5332,0.759
37,0.04939263,0.05118108,20.9329,0.758
38,0.12442268,0.09568293,109.9258,0.731
39,0.12901647,0.17405908,15.3089,0.748
40,0.10772556,0.10942414,61.9313,0.776
41,0.10476779,0.09944493,45.5435,0.695
42,0.06830826,0.06884769,49.4830,0.767
43,0.19874696,0.20739776,83.3527,0.765
44,0.10878894,0.06241153,74.3199,0.721
45,0.17597620,0.08063360,134.6350,0.759
46,0.17227949,0.14902444,116.0364,0.732
47,0.13822050,0.14715821,77.9346,0.781
48,0.06921903,0.07561830,62.5859,0.779
49,0.06953457,0.05911158,59.0173,0.785
