sample_idx,base_repaint_r1,physics_repaint_r1,autoencoder,atmodist_retrieval
0,0.06191295,0.09001701,0.03441869,0.11387677
1,0.07041671,0.06926866,0.04381496,0.12373043
2,0.09057146,0.06455284,0.05716607,0.05895208
3,0.09633315,0.05588855,0.05513643,0.13780665
4,0.08134111,0.04810045,0.02577658,0.08057915
5,0.08061437,0.07156104,0.03966088,0.10865602
6,0.18177997,0.11353093,0.08797674,0.24450189
7,0.17871137,0.15142755,0.11825190,0.16296683
8,0.16706972,0.16223575,0.15026315,0.20446600
9,0.13445278,0.18874811,0.17197509,0.21910869
10,0.24394219,0.15606983,0.12226816,0.08177509
11,0.12409814,0.13964207,0.06106884,0.06751142
12,0.08608419,0.08267733,0.03909953,0.11707129
13,0.06283927,0.08206720,0.07290958,0.12000389
14,0.17322521,0.05821499,0.04463924,0.08856346
15,0.13108151,0.04968136,0.02736831,0.05488774
16,0.09980793,0.06634863,0.05922648,0.10026283
17,0.14599520,0.07903688,0.05843601,0.06874565
18,0.20502508,0.08093368,0.06054873,0.12197718
19,0.09768268,0.06699799,0.03594669,0.08421361
20,0.07757906,0.06255163,0.03530509,0.09372238
21,0.11856783,0.05477669,0.02971099,0.07784016
22,0.04585574,0.05817585,0.04860972,0.09457152
23,0.06738839,0.03627974,0.03040310,0.08130190
24,0.10787858,0.03979969,0.05542210,0.16063069
25,0.08914372,0.04688323,0.05326628,0.07300639
26,0.12335613,0.05492935,0.03488213,0.04814065
27,0.04479441,0.07386874,0.02511900,0.07378128
28,0.07581005,0.09620705,0.05155286,0.04820849
29,0.10678370,0.13955651,0.12137643,0.14170551
30,0.09611630,0.04210972,0.02905677,0.12642203
31,0.09305314,0.03090590,0.03432545,0.10485318
32,0.10154767,0.03351666,0.05727701,0.07801063
33,0.07292083,0.03702883,0.04069741,0.07304074
34,0.17961796,0.02154726,0.02456405,0.10963422
35,0.02777550,0.03546609,0.03103386,0.07648794
36,0.06264911,0.04872217,0.03727912,0.04941725
37,0.12235094,0.05914509,0.05250205,0.09375890
38,0.08614293,0.09043019,0.08267709,0.09011211
39,0.08530229,0.09737222,0.07946357,0.08089297
40,0.05468247,0.10862464,0.08490500,0.15659340
41,0.11780260,0.08315731,0.08707615,0.13343936
42,0.09690861,0.06846116,0.06810375,0.07965537
43,0.05622762,0.05675940,0.06385148,0.10699263
44,0.10848956,0.06390173,0.06039777,0.13618849
45,0.11881000,0.07441132,0.08556520,0.04591154
46,0.12178727,0.06597542,0.07698990,0.08261444
47,0.09270775,0.04852622,0.05765161,0.06099993
48,0.08114495,0.04847142,0.05243899,0.09609055
49,0.07676259,0.04475135,0.05348222,0.08895836
