Ensemble n_samples experiment
Checkpoint    : checkpoints_linear/best_model_linear.pt
T=1000, stride=10, resample=1
noise_std     : 0.11619
schedule      : linear
n_seeds       : 50
steps/run     : 100

 n_samples   mean_time(s)   std_time   mean_RMSE   std_RMSE   min_RMSE   max_RMSE
--------------------------------------------------------------------------------
         1           1.05       0.20      0.1015     0.0402     0.0363     0.2095
         5           5.13       0.62      0.0876     0.0351     0.0301     0.1900
        10          10.32       1.26      0.0893     0.0322     0.0428     0.1915
        15          15.29       1.39      0.0809     0.0294     0.0389     0.1853
        20          20.35       1.95      0.0806     0.0307     0.0333     0.1970

Per-seed breakdown:
  test_idx  t(n=1)  RMSE(n=1)  t(n=5)  RMSE(n=5)  t(n=10)  RMSE(n=10)  t(n=15)  RMSE(n=15)  t(n=20)  RMSE(n=20)
------------------------------------------------------------------------------------------------------------------------
         0     2.1s  0.0797     7.4s  0.0612    13.9s  0.0455    20.1s  0.0521    27.1s  0.0681
        40     1.8s  0.0844     7.8s  0.0479    15.0s  0.0851    17.9s  0.0610    20.6s  0.0483
        80     1.0s  0.1628     5.3s  0.1653    10.6s  0.1084    15.7s  0.1206    20.6s  0.1314
       120     1.0s  0.1770     5.1s  0.0548    10.5s  0.1475    16.0s  0.1315    20.9s  0.1336
       160     1.1s  0.1307     5.3s  0.0651    10.5s  0.1033    15.5s  0.0427    20.2s  0.0757
       200     1.0s  0.0721     5.0s  0.0618     9.8s  0.0454    15.1s  0.0674    20.9s  0.0681
       240     1.0s  0.1267     5.2s  0.0835    10.4s  0.0465    15.7s  0.0591    22.1s  0.0382
       280     1.1s  0.1004     5.3s  0.0541    10.9s  0.0459    15.7s  0.0472    20.3s  0.0606
       320     1.0s  0.0465     5.0s  0.0557     9.8s  0.0640    14.9s  0.0526    20.1s  0.0512
       360     1.0s  0.1491     5.0s  0.1354    10.2s  0.1353    15.2s  0.1030    20.7s  0.1161
       400     1.0s  0.0934     5.2s  0.0592    10.3s  0.0834    15.7s  0.0713    20.8s  0.0875
       440     1.0s  0.1166     5.2s  0.0873    11.1s  0.0629    16.0s  0.0623    20.6s  0.0379
       480     0.9s  0.1172     4.9s  0.0886     9.6s  0.0884    14.8s  0.0919    19.7s  0.0873
       521     1.1s  0.0927     4.9s  0.1900     9.4s  0.1277    14.3s  0.1573    19.6s  0.1329
       561     1.0s  0.2005     4.8s  0.1220     9.4s  0.1234    13.9s  0.1242    18.8s  0.1172
       601     1.0s  0.2095     4.7s  0.1855     9.8s  0.1915    14.4s  0.1853    18.9s  0.1970
       641     0.9s  0.0921     4.7s  0.0931    10.0s  0.0826    15.4s  0.0899    19.1s  0.0830
       681     0.9s  0.0694     4.8s  0.0747     9.4s  0.0846    14.4s  0.0902    19.5s  0.0841
       721     1.1s  0.1374     5.5s  0.0680    12.7s  0.0739    19.1s  0.0659    25.8s  0.0599
       761     1.2s  0.0849     6.3s  0.0652    12.9s  0.0554    18.9s  0.0389    25.7s  0.0656
       801     1.2s  0.0882     6.2s  0.0880    12.8s  0.1226    16.0s  0.0958    19.7s  0.0782
       841     1.0s  0.1395     4.8s  0.0955     9.1s  0.1041    13.6s  0.0875    18.2s  0.0804
       881     0.9s  0.0391     4.6s  0.1185     9.6s  0.0903    13.9s  0.0760    18.8s  0.0681
       921     0.9s  0.0754     4.8s  0.1058     9.5s  0.0942    14.3s  0.0682    18.8s  0.0853
       961     0.9s  0.0465     4.8s  0.0396     9.4s  0.0743    14.2s  0.0991    19.8s  0.0333
      1002     1.1s  0.0720     5.3s  0.1235    10.3s  0.1059    15.2s  0.0827    20.4s  0.0734
      1042     1.1s  0.0593     5.1s  0.0468    10.2s  0.0693    15.5s  0.0866    20.2s  0.0771
      1082     1.0s  0.0597     5.0s  0.1240    10.3s  0.1676    16.0s  0.0921    20.3s  0.1120
      1122     1.0s  0.1001     4.9s  0.0804    11.7s  0.0718    18.8s  0.0569    23.0s  0.0596
