12 Methods  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 100

Method                    Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
---------------------------------------------------------------------------
RePaint r=10                 0.0978     0.0485   0.0226   0.2608          6.74
RePaint r=1                  0.1062     0.0511   0.0353   0.2948          0.65
DPS z=0.5                    0.1221     0.0566   0.0142   0.3304          2.48
DPS z=0.04                   0.0583     0.0256   0.0210   0.1439          2.53
RD r=1 z=0.5                 0.1319     0.0575   0.0205   0.3254          2.58
RD r=1 z=0.04                0.0611     0.0259   0.0208   0.1342          2.59
DDIM eta=0                   0.1241     0.0567   0.0421   0.3380          0.73
DDIM eta=1                   0.1046     0.0462   0.0411   0.3069          0.65
DDIM+DPS e0 z=0.5            0.1725     0.0615   0.0711   0.3909          2.01
DDIM+DPS e0 z=0.04           0.0665     0.0248   0.0195   0.1610          2.00
DDIM+DPS e1 z=0.5            0.1184     0.0561   0.0164   0.3406          2.01
DDIM+DPS e1 z=0.04           0.0569     0.0257   0.0138   0.1637          2.00

Per-seed breakdown:
    Seed   idx  RePaint r=      t  RePaint r=      t   DPS z=0.5      t  DPS z=0.04      t  RD r=1 z=0      t  RD r=1 z=0      t  DDIM eta=0      t  DDIM eta=1      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       0     0      0.0687    7.1      0.1711    0.7      0.1655    2.8      0.0764    2.6      0.1580    2.5      0.0392    2.6      0.0685    0.8      0.0743    0.6      0.1711    2.1      0.0506    2.0      0.1290    2.1      0.0610    2.1
       7     7      0.0669    6.7      0.0685    0.6      0.0805    2.5      0.0864    2.5      0.0988    2.5      0.0358    2.6      0.1288    0.7      0.0747    0.7      0.1717    2.1      0.0591    2.0      0.0715    2.0      0.0460    2.1
      14    14      0.1734    6.7      0.0724    0.7      0.1032    2.5      0.1213    2.5      0.1279    2.5      0.0959    2.6      0.0858    0.7      0.1784    0.7      0.2137    2.0      0.0961    1.9      0.0897    2.0      0.0737    2.0
      21    21      0.0433    6.8      0.0417    0.6      0.0673    2.4      0.0345    2.5      0.1159    2.6      0.0593    2.6      0.1687    0.8      0.0902    0.7      0.0963    2.0      0.0434    2.0      0.1477    2.0      0.1637    2.1
      28    28      0.0933    6.7      0.0963    0.7      0.0745    2.5      0.0437    2.9      0.0759    2.6      0.0522    2.6      0.0886    0.7      0.1968    0.7      0.1650    2.0      0.0871    2.1      0.0991    2.0      0.0285    2.0
      35    35      0.0654    6.7      0.0790    0.6      0.1174    2.4      0.0836    2.6      0.1925    2.6      0.0219    2.5      0.0695    0.7      0.0743    0.6      0.1440    2.0      0.0561    2.0      0.1345    2.0      0.0458    2.0
      42    42      0.0914    6.8      0.1233    0.7      0.1487    2.5      0.0269    2.5      0.1896    2.5      0.0429    2.5      0.1918    0.7      0.1060    0.7      0.1305    1.7      0.0602    2.0      0.1705    2.1      0.0263    2.1
      49    49      0.0565    6.9      0.0614    0.6      0.2755    2.6      0.0600    2.5      0.2677    2.6      0.0412    2.6      0.0702    0.7      0.0807    0.6      0.2542    2.1      0.1037    2.0      0.2435    2.0      0.0571    2.0
      56    56      0.0846    6.7      0.1373    0.6      0.0242    2.4      0.0302    2.5      0.0205    2.5      0.0262    2.6      0.2162    0.7      0.1185    0.6      0.0884    2.0      0.0247    2.1      0.0378    2.1      0.0268    2.0
      63    63      0.0557    6.7      0.1544    0.7      0.0397    2.6      0.0243    2.6      0.0394    2.6      0.0208    2.6      0.0421    0.7      0.0476    0.7      0.0740    2.0      0.0366    2.0      0.0354    2.0      0.0269    2.0
      70    70      0.1248    6.8      0.0671    0.7      0.0686    2.5      0.0605    2.5      0.1376    2.5      0.0590    2.6      0.2648    0.7      0.0932    0.7      0.1426    2.1      0.0633    1.9      0.0781    1.9      0.0361    1.9
      77    77      0.1494    6.7      0.0465    0.7      0.0854    2.2      0.0651    2.4      0.1127    2.5      0.0412    2.6      0.0863    0.7      0.0947    0.7      0.1274    2.0      0.0415    1.9      0.1635    1.8      0.0818    2.0
      84    84      0.1380    6.8      0.0954    0.6      0.1764    2.4      0.0558    2.5      0.1469    2.5      0.0354    2.5      0.1236    0.7      0.0849    0.7      0.2726    2.0      0.0558    2.0      0.1480    2.0      0.0552    2.1
      91    91      0.0308    6.8      0.1048    0.6      0.1062    2.5      0.0688    2.6      0.1189    2.6      0.0312    2.7      0.0804    0.7      0.0789    0.6      0.1136    2.1      0.0609    2.0      0.1142    2.1      0.0710    2.0
      98    98      0.0226    6.8      0.0463    0.6      0.1358    2.6      0.0596    2.5      0.1408    2.6      0.0416    2.6      0.1881    0.7      0.0890    0.7      0.1060    1.9      0.0699    2.0      0.1777    2.0      0.0464    2.0
     105   105      0.1052    6.7      0.0429    0.6      0.0291    2.6      0.0245    2.5      0.0512    2.6      0.0308    2.6      0.0921    0.7      0.0816    0.7      0.0843    2.0      0.0311    2.0      0.0194    1.9      0.0351    2.0
     112   112      0.0738    6.9      0.0353    0.7      0.0304    2.4      0.0218    2.6      0.0360    2.6      0.0534    2.6      0.1076    0.7      0.0869    0.6      0.1069    2.0      0.0232    2.0      0.0309    2.0      0.0138    2.1
     119   119      0.1188    6.7      0.1181    0.6      0.0797    2.4      0.0361    2.5      0.1770    2.6      0.0459    2.5      0.1093    0.7      0.0667    0.7      0.1894    2.1      0.0335    2.1      0.1346    2.0      0.0362    2.0
     126   126      0.1155    6.8      0.0657    0.7      0.0631    2.6      0.0353    2.5      0.1435    2.6      0.0754    2.5      0.0441    0.7      0.0411    0.6      0.1930    2.0      0.0306    1.9      0.0709    1.9      0.0273    2.0
     133   133      0.0748    6.5      0.0899    0.7      0.0852    2.5      0.0567    2.4      0.1377    2.6      0.0610    2.6      0.0855    0.7      0.1489    0.6      0.1577    2.0      0.0663    2.0      0.0855    2.0      0.0614    2.0
