seed,test_idx,repaint_r10_rmse,repaint_r10_time,repaint_r1_rmse,repaint_r1_time,dps_rmse,dps_time
0,0,0.108904,65.045,0.071521,5.104,0.220107,21.352
7,7,0.031642,62.072,0.187210,6.102,0.095798,17.079
14,14,0.089616,59.949,0.101160,7.605,0.093070,16.842
21,21,0.115109,17.625,0.053483,1.341,0.069497,11.212
28,28,0.059324,38.809,0.146896,3.943,0.061363,5.682
35,35,0.032044,19.405,0.059237,1.757,0.039303,5.910
42,42,0.029742,18.704,0.129394,2.120,0.096377,5.495
49,49,0.154834,19.086,0.105912,1.823,0.255289,5.228
56,56,0.036820,18.098,0.117534,5.416,0.020124,6.114
63,63,0.082769,17.172,0.128763,1.769,0.046868,5.924
70,70,0.053646,18.510,0.128320,1.630,0.112529,6.219
77,77,0.163446,18.771,0.093368,1.572,0.142114,6.414
84,84,0.090055,19.558,0.101533,1.521,0.190281,7.234
91,91,0.097409,18.671,0.172072,1.916,0.065930,5.870
98,98,0.071006,19.071,0.106914,1.767,0.118118,5.990
105,105,0.028490,16.538,0.090708,1.663,0.037547,7.081
112,112,0.066906,18.835,0.065188,1.741,0.069776,6.007
119,119,0.059453,20.146,0.100554,2.237,0.113523,6.282
126,126,0.142303,19.300,0.097100,1.571,0.103043,5.399
133,133,0.051540,17.281,0.071638,1.875,0.064336,6.226
