Method Comparison  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 20
Path steps : 150

Method          Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
--------------------------------------------------------------------
RePaint-r10        0.0783     0.0408   0.0285   0.1634         26.13
RePaint-r1         0.1064     0.0345   0.0535   0.1872          2.72
DPS                0.1007     0.0599   0.0201   0.2553          8.18

Per-seed breakdown:
  Seed    idx   RPr10-RMSE   RPr10-t   RPr1-RMSE   RPr1-t   DPS-RMSE   DPS-t
--------------------------------------------------------------------------------
     0      0       0.1089     65.05      0.0715     5.10     0.2201   21.35
     7      7       0.0316     62.07      0.1872     6.10     0.0958   17.08
    14     14       0.0896     59.95      0.1012     7.60     0.0931   16.84
    21     21       0.1151     17.63      0.0535     1.34     0.0695   11.21
    28     28       0.0593     38.81      0.1469     3.94     0.0614    5.68
    35     35       0.0320     19.40      0.0592     1.76     0.0393    5.91
    42     42       0.0297     18.70      0.1294     2.12     0.0964    5.49
    49     49       0.1548     19.09      0.1059     1.82     0.2553    5.23
    56     56       0.0368     18.10      0.1175     5.42     0.0201    6.11
    63     63       0.0828     17.17      0.1288     1.77     0.0469    5.92
    70     70       0.0536     18.51      0.1283     1.63     0.1125    6.22
    77     77       0.1634     18.77      0.0934     1.57     0.1421    6.41
    84     84       0.0901     19.56      0.1015     1.52     0.1903    7.23
    91     91       0.0974     18.67      0.1721     1.92     0.0659    5.87
    98     98       0.0710     19.07      0.1069     1.77     0.1181    5.99
   105    105       0.0285     16.54      0.0907     1.66     0.0375    7.08
   112    112       0.0669     18.84      0.0652     1.74     0.0698    6.01
   119    119       0.0595     20.15      0.1006     2.24     0.1135    6.28
   126    126       0.1423     19.30      0.0971     1.57     0.1030    5.40
   133    133       0.0515     17.28      0.0716     1.88     0.0643    6.23
