seed,test_idx,repaint_r10_rmse,repaint_r10_time,repaint_r1_rmse,repaint_r1_time,dps_rmse,dps_time,repaint_dps_rmse,repaint_dps_time
0,0,0.072261,12.709,0.054552,1.188,0.118929,3.276,0.080014,36.061
7,7,0.150393,11.896,0.090002,1.184,0.168845,3.638,0.067457,37.175
14,14,0.166266,12.480,0.052061,1.163,0.111469,3.713,0.108487,37.051
21,21,0.135378,12.779,0.074902,1.263,0.129506,3.914,0.109429,34.880
28,28,0.167947,11.467,0.050771,1.136,0.069644,3.650,0.035607,38.079
35,35,0.074047,11.870,0.023320,1.097,0.053739,3.661,0.065491,39.938
42,42,0.141731,12.118,0.043867,1.241,0.165597,3.865,0.062361,38.399
49,49,0.061419,12.043,0.083666,1.147,0.067024,3.835,0.060213,37.660
56,56,0.041199,12.499,0.154903,1.235,0.025928,3.706,0.024129,35.780
63,63,0.040149,12.666,0.056819,1.170,0.034661,4.029,0.036579,38.551
70,70,0.182516,12.695,0.056265,1.284,0.091863,3.789,0.040348,38.916
77,77,0.077379,13.225,0.079379,1.312,0.172342,3.708,0.087513,38.129
84,84,0.103253,11.813,0.107502,1.133,0.151698,3.883,0.035677,36.894
91,91,0.077381,12.097,0.085996,1.165,0.081936,3.898,0.065312,36.157
98,98,0.036065,12.440,0.088244,1.202,0.173772,3.763,0.082904,37.154
105,105,0.110983,12.525,0.113642,1.249,0.039677,3.636,0.061003,38.053
112,112,0.112348,12.326,0.059418,1.204,0.035229,3.786,0.018924,37.477
119,119,0.137695,11.776,0.126498,1.141,0.095779,4.054,0.075344,37.631
126,126,0.069741,12.503,0.048481,1.180,0.123684,3.669,0.051751,38.969
133,133,0.151557,12.169,0.094634,1.140,0.154673,3.371,0.069093,37.087
