seed,test_idx,RD1-RMSE,RD1-t
0,0,0.1296527087688446,3.760953689998132
7,7,0.08985064178705215,3.6830563619951135
14,14,0.1569770872592926,3.7349415400021826
21,21,0.17912006378173828,3.3683626290003303
28,28,0.11211097985506058,3.7221467830022448
35,35,0.06981981545686722,3.6522919919952983
42,42,0.15103231370449066,3.4837311040028
49,49,0.25987234711647034,3.704010613997525
56,56,0.0262190792709589,3.649417058994004
63,63,0.044666193425655365,3.595933486998547
70,70,0.0619414821267128,3.5366964460044983
77,77,0.15588118135929108,3.6315131119990838
84,84,0.17847411334514618,3.494361607998144
91,91,0.1364206075668335,3.064363028999651
98,98,0.10117669403553009,3.1397330530016916
105,105,0.027352532371878624,3.016711528005544
112,112,0.05569548159837723,3.034022833999188
119,119,0.12536510825157166,3.0564294639989384
126,126,0.12106794863939285,3.0389645800023573
133,133,0.09571339190006256,3.0637732930044876
