Method Comparison  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 20
Path steps : 150

Method          Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
--------------------------------------------------------------------
RePaint-r10        0.1055     0.0453   0.0361   0.1825         12.30
RePaint-r1         0.0772     0.0311   0.0233   0.1549          1.19
DPS                0.1033     0.0496   0.0259   0.1738          3.74
RePaint+DPS        0.0619     0.0245   0.0189   0.1094         37.50

Per-seed breakdown:
  Seed    idx   RPr10-RMSE   RPr10-t   RPr1-RMSE   RPr1-t   DPS-RMSE   DPS-t    RD-RMSE    RD-t
------------------------------------------------------------------------------------------------
     0      0       0.0723     12.71      0.0546     1.19     0.1189    3.28     0.0800   36.06
     7      7       0.1504     11.90      0.0900     1.18     0.1688    3.64     0.0675   37.17
    14     14       0.1663     12.48      0.0521     1.16     0.1115    3.71     0.1085   37.05
    21     21       0.1354     12.78      0.0749     1.26     0.1295    3.91     0.1094   34.88
    28     28       0.1679     11.47      0.0508     1.14     0.0696    3.65     0.0356   38.08
    35     35       0.0740     11.87      0.0233     1.10     0.0537    3.66     0.0655   39.94
    42     42       0.1417     12.12      0.0439     1.24     0.1656    3.87     0.0624   38.40
    49     49       0.0614     12.04      0.0837     1.15     0.0670    3.83     0.0602   37.66
    56     56       0.0412     12.50      0.1549     1.23     0.0259    3.71     0.0241   35.78
    63     63       0.0401     12.67      0.0568     1.17     0.0347    4.03     0.0366   38.55
    70     70       0.1825     12.70      0.0563     1.28     0.0919    3.79     0.0403   38.92
    77     77       0.0774     13.23      0.0794     1.31     0.1723    3.71     0.0875   38.13
    84     84       0.1033     11.81      0.1075     1.13     0.1517    3.88     0.0357   36.89
    91     91       0.0774     12.10      0.0860     1.17     0.0819    3.90     0.0653   36.16
    98     98       0.0361     12.44      0.0882     1.20     0.1738    3.76     0.0829   37.15
   105    105       0.1110     12.53      0.1136     1.25     0.0397    3.64     0.0610   38.05
   112    112       0.1123     12.33      0.0594     1.20     0.0352    3.79     0.0189   37.48
   119    119       0.1377     11.78      0.1265     1.14     0.0958    4.05     0.0753   37.63
   126    126       0.0697     12.50      0.0485     1.18     0.1237    3.67     0.0518   38.97
   133    133       0.1516     12.17      0.0946     1.14     0.1547    3.37     0.0691   37.09
