seed,test_idx,repaint_r10_rmse,repaint_r10_time,repaint_r1_rmse,repaint_r1_time,dps_rmse,dps_time,repaint_dps_rmse,repaint_dps_time
0,0,0.114497,9.172,0.085911,0.845,0.048069,3.804,0.090311,34.955
7,7,0.053906,8.493,0.086385,0.865,0.050725,3.760,0.032320,35.571
14,14,0.172172,11.303,0.136426,1.110,0.122252,3.093,0.060858,32.197
21,21,0.077596,7.945,0.154424,0.758,0.115081,3.043,0.081001,32.427
28,28,0.046546,10.682,0.043481,1.065,0.023025,3.251,0.035978,35.196
35,35,0.032569,10.204,0.045541,0.858,0.044916,3.752,0.056451,38.877
42,42,0.070791,7.892,0.065387,0.759,0.024986,3.073,0.037158,32.607
49,49,0.056601,7.898,0.088488,0.761,0.051178,3.107,0.129523,33.020
56,56,0.075557,8.327,0.140026,0.798,0.030810,3.095,0.023969,32.433
63,63,0.059060,8.488,0.110918,0.815,0.028197,3.103,0.052042,36.753
70,70,0.079071,8.469,0.056910,0.816,0.041196,3.726,0.076987,32.630
77,77,0.114052,7.895,0.084193,0.763,0.061567,3.072,0.077257,32.399
84,84,0.083982,7.873,0.081769,0.757,0.035640,3.170,0.043620,31.701
91,91,0.078364,7.982,0.212614,0.785,0.067288,2.986,0.083570,31.780
98,98,0.082103,7.926,0.194822,0.763,0.094845,3.069,0.113077,33.011
105,105,0.038484,7.889,0.159959,0.763,0.038554,3.492,0.040830,35.776
112,112,0.081379,9.039,0.066496,0.868,0.025725,3.570,0.022312,32.657
119,119,0.054592,8.147,0.081733,0.880,0.019470,3.090,0.042466,32.126
126,126,0.066756,7.885,0.049381,0.762,0.036502,3.104,0.062157,32.653
133,133,0.065903,10.595,0.070257,1.095,0.038274,3.197,0.075042,33.326
