Method Comparison  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 20
Path steps : 150

Method          Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
--------------------------------------------------------------------
RePaint-r10        0.0752     0.0302   0.0326   0.1722          8.71
RePaint-r1         0.1008     0.0482   0.0435   0.2126          0.84
DPS                0.0499     0.0286   0.0195   0.1223          3.28
RePaint+DPS        0.0618     0.0282   0.0223   0.1295         33.60

Per-seed breakdown:
  Seed    idx   RPr10-RMSE   RPr10-t   RPr1-RMSE   RPr1-t   DPS-RMSE   DPS-t    RD-RMSE    RD-t
------------------------------------------------------------------------------------------------
     0      0       0.1145      9.17      0.0859     0.84     0.0481    3.80     0.0903   34.95
     7      7       0.0539      8.49      0.0864     0.87     0.0507    3.76     0.0323   35.57
    14     14       0.1722     11.30      0.1364     1.11     0.1223    3.09     0.0609   32.20
    21     21       0.0776      7.94      0.1544     0.76     0.1151    3.04     0.0810   32.43
    28     28       0.0465     10.68      0.0435     1.07     0.0230    3.25     0.0360   35.20
    35     35       0.0326     10.20      0.0455     0.86     0.0449    3.75     0.0565   38.88
    42     42       0.0708      7.89      0.0654     0.76     0.0250    3.07     0.0372   32.61
    49     49       0.0566      7.90      0.0885     0.76     0.0512    3.11     0.1295   33.02
    56     56       0.0756      8.33      0.1400     0.80     0.0308    3.09     0.0240   32.43
    63     63       0.0591      8.49      0.1109     0.81     0.0282    3.10     0.0520   36.75
    70     70       0.0791      8.47      0.0569     0.82     0.0412    3.73     0.0770   32.63
    77     77       0.1141      7.90      0.0842     0.76     0.0616    3.07     0.0773   32.40
    84     84       0.0840      7.87      0.0818     0.76     0.0356    3.17     0.0436   31.70
    91     91       0.0784      7.98      0.2126     0.78     0.0673    2.99     0.0836   31.78
    98     98       0.0821      7.93      0.1948     0.76     0.0948    3.07     0.1131   33.01
   105    105       0.0385      7.89      0.1600     0.76     0.0386    3.49     0.0408   35.78
   112    112       0.0814      9.04      0.0665     0.87     0.0257    3.57     0.0223   32.66
   119    119       0.0546      8.15      0.0817     0.88     0.0195    3.09     0.0425   32.13
   126    126       0.0668      7.88      0.0494     0.76     0.0365    3.10     0.0622   32.65
   133    133       0.0659     10.60      0.0703     1.09     0.0383    3.20     0.0750   33.33
