seed,test_idx,RePaint_r=10_rmse,RePaint_r=10_time,RePaint_r=1_rmse,RePaint_r=1_time,DPS_z=0.5_rmse,DPS_z=0.5_time,DPS_z=0.04_rmse,DPS_z=0.04_time,RD_r=10_z=0.5_rmse,RD_r=10_z=0.5_time,RD_r=10_z=0.04_rmse,RD_r=10_z=0.04_time,RD_r=1_z=0.5_rmse,RD_r=1_z=0.5_time,RD_r=1_z=0.04_rmse,RD_r=1_z=0.04_time
0,0,0.07290875911712646,79.11839352500101,0.07709265500307083,7.683146593000856,0.07934800535440445,31.21423312299885,0.03968526050448418,31.05044282200106,0.06094475835561752,308.6878111640108,0.06471605598926544,315.87788816601096,0.07516069710254669,30.584255825000582,0.056262046098709106,30.235453915986
7,7,0.08810524642467499,74.61392143199919,0.15134350955486298,7.244482534995768,0.06660175323486328,29.774580024008173,0.06742782145738602,30.15770060700015,0.058160923421382904,317.4003556490061,0.0860842913389206,307.3757728490018,0.0530850775539875,31.39436304899573,0.09992298483848572,31.519171834996087
14,14,0.10377134382724762,75.14759648499603,0.18544207513332367,7.374041863993625,0.08922504633665085,30.384256398989237,0.1312102973461151,30.1034116630035,0.10675659775733948,310.77714186601224,0.21615827083587646,309.4444188280031,0.08859434723854065,30.14935800000967,0.07997336983680725,30.145455963007407
21,21,0.029867229983210564,74.66917826500139,0.38885706663131714,7.253360168004292,0.04760594666004181,30.20798026600096,0.09508199244737625,31.008316967010614,0.032156359404325485,307.74829462099297,0.11677799373865128,313.8173898009991,0.06314180046319962,31.34449599099753,0.1465897113084793,33.112306013004854
28,28,0.07742620259523392,97.99646254199615,0.07722239941358566,10.034150432999013,0.037817344069480896,32.31265778200759,0.07357610762119293,31.80356673899223,0.058986689895391464,293.68346629200096,0.04700443521142006,324.64085632799834,0.03344590961933136,32.55131896400417,0.02580178529024124,32.01229059099569
35,35,0.0877240002155304,89.19069149799179,0.0634370818734169,9.454792201999226,0.04100648686289787,33.49055157399562,0.047976426780223846,36.25643772199692,0.07775207608938217,324.1500477669906,0.04861827567219734,315.12002159999975,0.06182476878166199,32.10798623599112,0.04597405716776848,30.079391306004254
42,42,0.09315606206655502,92.81763333900017,0.11422612518072128,8.813888848002534,0.06314532458782196,27.16031154000666,0.04936566948890686,31.665284499991685,0.05073840916156769,320.51689087699924,0.04090691730380058,325.32871215800697,0.09057691693305969,31.90717669800506,0.06688736379146576,32.11616947299626
49,49,0.24520957469940186,91.35999496700242,0.13904814422130585,8.947103276004782,0.11210775375366211,31.32406233099755,0.06009707599878311,29.885833170003025,0.11387841403484344,316.22270339699753,0.05088066682219505,304.8825325240032,0.15974128246307373,31.222969351001666,0.04536786302924156,30.6109043359902
56,56,0.07165517657995224,86.30348111399508,0.15648353099822998,8.40197976800846,0.05016694962978363,29.86469922598917,0.021663187071681023,29.66187998598616,0.044691331684589386,305.02312888400047,0.02307181805372238,336.7165792690066,0.030842026695609093,31.047076508999453,0.021778453141450882,34.84103874200082
63,63,0.06951728463172913,122.69843971700175,0.0534236840903759,11.920077817994752,0.04736490547657013,31.455808030004846,0.026657454669475555,33.08894084900385,0.02586890012025833,343.98976549301005,0.05278606712818146,357.4282976999966,0.05305243283510208,32.52984740800457,0.03702810779213905,32.538559997003176
