seed,test_idx,UNet_RePaint_r10_rmse,UNet_RePaint_r10_mag_err,UNet_RePaint_r10_angle_err_deg,UNet_RePaint_r10_time,UNet_RePaint_r1_rmse,UNet_RePaint_r1_mag_err,UNet_RePaint_r1_angle_err_deg,UNet_RePaint_r1_time,UNet_DPS_z0.04_rmse,UNet_DPS_z0.04_mag_err,UNet_DPS_z0.04_angle_err_deg,UNet_DPS_z0.04_time,FNO_RePaint_r10_rmse,FNO_RePaint_r10_mag_err,FNO_RePaint_r10_angle_err_deg,FNO_RePaint_r10_time,FNO_RePaint_r1_rmse,FNO_RePaint_r1_mag_err,FNO_RePaint_r1_angle_err_deg,FNO_RePaint_r1_time,FNO_DPS_z0.04_rmse,FNO_DPS_z0.04_mag_err,FNO_DPS_z0.04_angle_err_deg,FNO_DPS_z0.04_time
0,0,0.1462736278772354,0.04994260519742966,44.395084381103516,8.507354812696576,0.09784819185733795,0.043628569692373276,41.22942352294922,0.7995591638609767,0.08108892291784286,0.03752962499856949,28.649002075195312,2.644333099015057,0.10900482535362244,0.0574057511985302,31.313888549804688,4.555564389564097,0.12062034010887146,0.0746503695845604,39.6541748046875,0.428562524728477,0.10558829456567764,0.051097359508275986,44.64145278930664,2.103768520988524
7,7,0.19305621087551117,0.05514456704258919,48.78887176513672,6.654108723625541,0.26929089426994324,0.07402988523244858,80.63914489746094,0.6376015981659293,0.046893585473299026,0.02690790221095085,10.47477912902832,2.6650884272530675,0.13224126398563385,0.06258273124694824,33.470638275146484,5.635786212049425,0.24352996051311493,0.12421394884586334,71.83112335205078,0.5320506328716874,0.127804696559906,0.06675676256418228,29.3675479888916,2.041873467154801
14,14,0.29167434573173523,0.08305417746305466,113.71024322509766,8.263483582995832,0.09382430464029312,0.05357784032821655,60.54720687866211,0.7938355449587107,0.1065201684832573,0.058948930352926254,55.05556106567383,2.541549948975444,0.1133531928062439,0.0667508915066719,48.67536544799805,4.494775503873825,0.1109619289636612,0.06309707462787628,48.75346755981445,0.4253396261483431,0.13603731989860535,0.05739657208323479,112.20189666748047,1.6958641847595572
21,21,0.13424573838710785,0.07684934139251709,24.991636276245117,6.680219299159944,0.3954557478427887,0.17070405185222626,122.1786880493164,0.6674564210698009,0.047570012509822845,0.029261039569973946,22.222183227539062,2.428115041926503,0.17153756320476532,0.07641609013080597,70.00666046142578,4.430342643521726,0.1899387538433075,0.14461365342140198,37.03515625,0.4066756749525666,0.08619724214076996,0.04755586385726929,60.62091064453125,1.781314654275775
28,28,0.22883518040180206,0.05752367526292801,82.38772583007812,6.591794775798917,0.16644924879074097,0.10678718984127045,38.51335906982422,0.6431185221299529,0.14235755801200867,0.041331395506858826,47.70701599121094,2.37107524741441,0.08903808146715164,0.0492161326110363,24.07976722717285,4.486741041764617,0.11756989359855652,0.057507313787937164,35.99604797363281,0.4249365422874689,0.10800164937973022,0.052686791867017746,33.08135223388672,1.8592067183926702
35,35,0.128030464053154,0.09873523563146591,29.921628952026367,6.622533858753741,0.1127597764134407,0.06212563440203667,87.62321472167969,0.6198797943070531,0.06490053236484528,0.045522965490818024,29.40355682373047,2.384065077640116,0.09843870997428894,0.0760808140039444,32.44163513183594,4.350030896253884,0.17666102945804596,0.13344807922840118,55.40752029418945,0.4076929036527872,0.05738769471645355,0.03143288940191269,45.21165466308594,1.6865524584427476
42,42,0.11698003113269806,0.06641965359449387,34.10432434082031,6.266526496969163,0.0864483043551445,0.04367753118276596,30.878982543945312,0.6126125548034906,0.08224643021821976,0.03102579526603222,31.162059783935547,2.346395954489708,0.1502840369939804,0.0548601895570755,89.23518371582031,4.39079135004431,0.15821753442287445,0.044532570987939835,68.83901977539062,0.41757099982351065,0.06519634276628494,0.04470885545015335,18.393348693847656,1.7894747974351048
49,49,0.18333619832992554,0.12608206272125244,52.93082809448242,6.45188401453197,0.11364514380693436,0.05565644055604935,68.70401000976562,0.6103857597336173,0.07604759931564331,0.035809218883514404,45.77231216430664,2.3394386749714613,0.3208565413951874,0.22736741602420807,64.12805938720703,4.380246154032648,0.10471091419458389,0.058706674724817276,54.63859176635742,0.4056612690910697,0.07694313675165176,0.035186849534511566,53.368080139160156,1.7539020124822855
56,56,0.101421058177948,0.06157978996634483,22.581262588500977,6.471751658245921,0.2417062222957611,0.04420985281467438,107.4902572631836,0.6079569440335035,0.0340656153857708,0.020008079707622528,11.910009384155273,2.365681868046522,0.13669948279857635,0.06600163131952286,60.22822189331055,4.3805278623476624,0.13040803372859955,0.06718907505273819,59.43186950683594,0.40469813998788595,0.067974753677845,0.04375750198960304,16.189950942993164,1.7831974644213915
63,63,0.12305702269077301,0.047168370336294174,75.3640365600586,6.4201795579865575,0.05170358717441559,0.03178596869111061,43.373416900634766,0.6089732050895691,0.04144061729311943,0.022788234055042267,32.8028450012207,2.353991569019854,0.08351597934961319,0.03749256953597069,77.54320526123047,4.377793367020786,0.17251569032669067,0.09276756644248962,88.4931640625,0.4079722035676241,0.08555884659290314,0.03694067895412445,74.3929443359375,1.7722238916903734
70,70,0.5060305595397949,0.14775905013084412,102.59893035888672,6.420679940842092,0.13005031645298004,0.08601381629705429,32.72348403930664,0.6091768341138959,0.04787686839699745,0.02641652151942253,12.743578910827637,2.3502189805731177,0.09604258835315704,0.05646314099431038,32.09211349487305,4.356415444985032,0.16078226268291473,0.09517905116081238,33.30628204345703,0.40718672703951597,0.06860804557800293,0.03842687979340553,20.666994094848633,1.7334054140374064
77,77,0.08963626623153687,0.0633164718747139,22.051542282104492,6.414856526069343,0.1304066926240921,0.08209843933582306,59.05241775512695,0.6073122164234519,0.08187747001647949,0.053977739065885544,24.141748428344727,2.3749978877604008,0.14938314259052277,0.11177085340023041,26.947053909301758,4.460444591008127,0.1485135853290558,0.07226037234067917,74.54069519042969,0.41531717497855425,0.1464175581932068,0.07963698357343674,71.08560180664062,1.7643297296017408
84,84,0.0978018268942833,0.05855375528335571,21.59003257751465,6.534421496093273,0.07569355517625809,0.04532036930322647,31.92524528503418,0.6226224917918444,0.06277261674404144,0.027670731768012047,16.15361976623535,2.304296486079693,0.09281319379806519,0.038311343640089035,37.466796875,4.331910846754909,0.1846769005060196,0.08363846689462662,63.179683685302734,0.41170810256153345,0.0874342992901802,0.0241994746029377,43.511539459228516,1.7817470161244273
91,91,0.11241964250802994,0.0480528362095356,42.31012725830078,6.549988645128906,0.15648943185806274,0.10258496552705765,54.7720832824707,0.6152081517502666,0.07917065173387527,0.03552711009979248,27.073429107666016,2.3437805948778987,0.13126841187477112,0.04794415459036827,38.81493377685547,4.368818591348827,0.21267779171466827,0.10003853589296341,69.46818542480469,0.4146666843444109,0.14770029485225677,0.07779990136623383,37.78107452392578,1.784141855314374
98,98,0.20681507885456085,0.09945911914110184,82.24020385742188,6.522704486735165,0.13033372163772583,0.08422248810529709,34.59560012817383,0.6199125032871962,0.07469132542610168,0.048211779445409775,14.612482070922852,2.3055811068043113,0.13097570836544037,0.09937694668769836,32.81071472167969,4.433879287913442,0.11750497668981552,0.03847555071115494,39.60700607299805,0.41263633593916893,0.18991497159004211,0.11419457942247391,73.39967346191406,1.7671815678477287
105,105,0.11956965178251266,0.07021516561508179,67.23644256591797,6.5982853742316365,0.10475017875432968,0.05399227514863014,107.42411804199219,0.6236639525741339,0.058396678417921066,0.026876743882894516,67.49163818359375,2.380506157875061,0.10957180708646774,0.05480709671974182,84.5854721069336,4.388841801322997,0.13746511936187744,0.09127223491668701,81.92356872558594,0.40827483404427767,0.0489378497004509,0.01907271333038807,67.16570281982422,1.7565705636516213
112,112,0.06710615009069443,0.031138839200139046,26.50162124633789,6.346178685314953,0.13815683126449585,0.1113525927066803,19.326663970947266,0.6036767615005374,0.04298001900315285,0.021896308287978172,16.70760726928711,2.3255542907863855,0.09929955750703812,0.03686707094311714,37.4220085144043,4.344617531634867,0.10475226491689682,0.04016774147748947,37.10935974121094,0.40967446472495794,0.0668182224035263,0.03208030015230179,21.263507843017578,1.7632087646052241
119,119,0.09642491489648819,0.05659392103552818,68.69620513916016,6.38018190767616,0.08744180202484131,0.049121011048555374,82.80307006835938,0.6185894403606653,0.0420861653983593,0.018750695511698723,56.77558517456055,2.3693883130326867,0.06635036319494247,0.031394630670547485,75.60381317138672,4.3845367301255465,0.13338448107242584,0.0814599022269249,84.04890441894531,0.42542778979986906,0.052605435252189636,0.024672163650393486,72.6344985961914,1.650126338005066
126,126,0.2306421399116516,0.16324956715106964,81.81843566894531,6.5796976471319795,0.08432046324014664,0.04977811872959137,59.485836029052734,0.6327771423384547,0.09821297228336334,0.059524159878492355,68.9619369506836,2.335150741972029,0.1717831790447235,0.0929994136095047,85.35894775390625,4.473810632713139,0.18151134252548218,0.12027107179164886,102.09928894042969,0.4183569420129061,0.06689920276403427,0.03735564649105072,70.14945983886719,1.7792087383568287
133,133,0.15083248913288116,0.11011143028736115,14.965022087097168,6.624699497595429,0.27835747599601746,0.08635762333869934,112.7963638305664,0.6455731531605124,0.06957802921533585,0.045993123203516006,14.51301097869873,2.367227230221033,0.15705810487270355,0.09080306440591812,31.717880249023438,4.36467959638685,0.12218474596738815,0.06578320264816284,28.587844848632812,0.4067933578044176,0.13774625957012177,0.08939822018146515,40.3006706237793,1.7252090638503432
