Magnitude / Angle Error Comparison  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 50
Path steps : 150

Method          Mean MagErr  Std MagErr  Mean AngErr(deg)  Std AngErr  Mean Time(s)
-------------------------------------------------------------------------------------
RePaint r=10         0.0703      0.0399             47.03       27.56          6.33
RePaint r=1          0.0683      0.0300             57.29       29.69          0.61
DPS z=0.04           0.0387      0.0173             33.77       17.23          2.26

Per-seed breakdown:
    Seed   idx  RePaint r=-Mag  RePaint r=-Ang      t  RePaint r=-Mag  RePaint r=-Ang      t  DPS z=0.04-Mag  DPS z=0.04-Ang      t
-------------------------------------------------------------------------------------------------------------------------------------
       0     0      0.0972       35.37    6.7      0.0630       51.32    0.6      0.0433       23.06    2.4
       7     7      0.0763       79.25    6.4      0.1347      116.15    0.6      0.0356       26.80    2.2
      14    14      0.1311       71.66    6.2      0.0987       53.13    0.6      0.0902       59.06    2.3
      21    21      0.0540       27.42    6.2      0.0518      111.97    0.6      0.0653       22.60    2.3
      28    28      0.0398       15.90    6.3      0.0927      103.74    0.6      0.0198       10.73    2.3
      35    35      0.2178       33.55    6.4      0.0965       31.37    0.6      0.0471       34.29    2.2
      42    42      0.1647       38.84    6.3      0.0853       41.46    0.6      0.0233       22.86    2.3
      49    49      0.1429       65.45    6.5      0.1179       61.59    0.6      0.0277       42.53    2.2
      56    56      0.0524       18.19    6.4      0.0464       88.76    0.6      0.0235        8.64    2.2
      63    63      0.1108       62.76    6.2      0.1358       79.53    0.6      0.0204       44.47    2.3
      70    70      0.0771       13.28    6.5      0.1258       69.34    0.6      0.0505       13.07    2.3
      77    77      0.0551       26.25    6.4      0.0514       64.36    0.6      0.0312       34.98    2.3
      84    84      0.0392       46.33    6.4      0.0318       39.70    0.6      0.0457       36.86    2.2
      91    91      0.0379       43.57    6.4      0.0852       48.64    0.6      0.0341       29.60    2.2
      98    98      0.1101       90.03    6.2      0.0389       26.26    0.6      0.0274       17.86    2.3
     105   105      0.0287       55.97    6.3      0.0248       55.02    0.6      0.0148       55.51    2.3
     112   112      0.0361       12.77    6.2      0.0978       22.88    0.6      0.0267       11.10    2.3
     119   119      0.0255       70.32    6.2      0.0655       86.85    0.6      0.0134       47.96    2.3
     126   126      0.0919       65.29    6.3      0.0556       75.95    0.6      0.0313       63.55    2.2
     133   133      0.0583       29.48    6.3      0.0275       13.61    0.6      0.0493       22.71    2.2
     140   140      0.0757       38.21    6.4      0.0630       33.61    0.6      0.0476       18.28    2.3
     147   147      0.0613       69.44    6.6      0.0662       66.02    0.7      0.0540       39.19    2.2
     154   154      0.0403       77.18    6.3      0.0923       50.38    0.6      0.0217       34.63    2.3
     161   161      0.0449       43.16    6.6      0.0395       75.25    0.7      0.0209       50.49    2.3
     168   168      0.0298       41.46    6.4      0.0223       22.61    0.6      0.0291       18.18    2.3
     175   175      0.0659       38.89    6.3      0.0636       50.84    0.6      0.0323       26.34    2.2
     182   182      0.0613       18.78    6.3      0.0361       12.76    0.6      0.0242       12.01    2.2
     189   189      0.0517      124.23    6.2      0.0327      111.22    0.6      0.0406       28.41    2.0
     196   196      0.0855       36.28    6.3      0.0408       81.98    0.6      0.0314       36.33    2.2
     203   203      0.0557       19.99    6.2      0.0642       23.78    0.6      0.0318       16.74    2.2
     210   210      0.0371       22.67    6.2      0.0659       38.60    0.6      0.0718       66.31    2.2
     217   217      0.0329       26.28    6.2      0.0746      124.18    0.6      0.0287       24.21    2.2
     224   224      0.0283       39.24    6.4      0.0500       96.65    0.6      0.0315       67.94    2.3
     231   231      0.0330       14.53    6.2      0.0751       19.22    0.6      0.0368       15.24    2.2
     238   238      0.0436       29.37    6.4      0.0399       32.26    0.6      0.0403       30.36    2.3
     245   245      0.0763       25.83    6.4      0.0654       31.17    0.6      0.0399       46.44    2.3
     252   252      0.0791       91.95    6.3      0.0741       64.72    0.6      0.0481       88.95    2.2
     259   259      0.0784       74.85    6.4      0.0934       68.38    0.6      0.0236       55.37    2.3
     266   266      0.0996       45.75    6.4      0.0680       70.59    0.6      0.0647       39.26    2.3
     273   273      0.0749       15.98    6.4      0.1484       33.03    0.6      0.0282       16.15    2.3
     280   280      0.0793       50.18    6.3      0.0452       38.12    0.6      0.0602       33.96    2.3
     287   287      0.0577       58.94    6.3      0.0525       69.46    0.6      0.0247       33.17    2.3
     294   294      0.0312       18.35    6.3      0.0547       20.84    0.6      0.0913       59.09    2.1
     301   301      0.0417       36.25    6.3      0.0332       46.14    0.6      0.0310       18.99    2.3
     308   308      0.1640       99.25    6.2      0.0805       46.06    0.6      0.0382       26.14    2.3
     315   315      0.0302       11.21    6.3      0.0639       21.84    0.6      0.0306       20.92    2.3
     322   322      0.0915       35.84    6.4      0.0752       41.86    0.6      0.0605       41.46    2.3
     329   329      0.0638       44.03    6.4      0.1032       32.40    0.6      0.0373       27.18    2.3
     336   336      0.1037       86.38    6.3      0.0653       85.13    0.6      0.0322       37.26    2.3
     343   343      0.0495      115.25    6.2      0.0404      113.71    0.6      0.0632       31.03    2.3
